Model,RMSE,MAE,R2
<<<<<<< HEAD
Random Forest,18.420167035548257,4.013006169377453,0.9582299885227612
Ridge Regression,25.213102400842303,16.662546143677417,0.9217417662707293
XGBoost,19.996936392489296,4.973595348022256,0.9507728835871656
=======
Random Forest,18.25906449188733,3.980302860347728,0.9587943676211931
Ridge Regression,25.26454777172981,16.843350504018346,0.9211098837094228
XGBoost,18.85302330486643,4.730634941789988,0.9560699652096585
>>>>>>> 09074340286317f570ff055ef5d6c27fcbcfb560
